rank,artist,song
1,Wings,Silly Love Songs
2,Elton John & Kiki Dee,Don't Go Breaking My Heart
3,Johnnie Taylor,Disco Lady
5,Wild Cherry,Play That Funky Music
8,Paul Simon,50 Ways To Leave Your Lover
9,Gary Wright,Love Is Alive
10,Walter Murphy & The Big Apple Band,A Fifth Of Beethoven
12,Starland Vocal Band,Afternoon Delight
13,Barry Manilow,I Write The Songs
14,Silver Convention,"Fly, Robin, Fly"
15,Diana Ross,Love Hangover
16,Seals & Crofts,Get Closer
17,Andrea True Connection,"More, More, More"
18,Queen,Bohemian Rhapsody
19,Dorothy Moore,Misty Blue
20,The Sylvers,Boogie Fever
21,England Dan & John Ford Coley,I'd Really Love To See You Tonight
23,Nazareth,Love Hurts
24,Silver Convention,Get Up And Boogie
25,Eagles,Take It To The Limit
27,Commodores,Sweet Love
28,Maxine Nightingale,Right Back Where We Started From
30,Ohio Players,Love Rollercoaster
31,Bee Gees,You Should Be Dancing
32,Lou Rawls,You'll Never Find Another Love Like Mine
33,David Bowie,Golden Years
34,Starbuck,Moonlight Feels Right
35,Dr. Hook,Only Sixteen
36,Bellamy Brothers,Let Your Love Flow
38,Vicki Sue Robinson,Turn The Beat Around
39,Captain & Tennille,Lonely Night (angel Face)
40,Eric Carmen,All By Myself
41,Donna Summer,Love To Love You Baby
42,Donny & Marie Osmond,Deep Purple
44,Rufus Featuring Chaka Khan,Sweet Thing
46,Dr. Hook,A Little Bit More
47,Henry Gross,Shannon
48,Chicago,If You Leave Me Now
49,Boz Scaggs,Lowdown
50,Peter Frampton,Show Me The Way
51,Aerosmith,Dream On
52,The O'Jays,I Love Music (Part 1)
53,Fleetwood Mac,Say You Love Me
55,Cliff Richard,Devil Woman
56,Elvin Bishop,Fooled Around And Fell In Love
57,C.W. McCall,Convoy
58,John Sebastian,Welcome Back
59,"Earth, Wind & Fire",Sing A Song
60,Tavares,HEAVEN MUST BE MISSING AN ANGEL
61,The Brothers Johnson,I'll Be Good To You
62,The Beach Boys,Rock And Roll Music
63,Captain & Tennille,Shop Around
64,Bay City Rollers,Saturday Night
65,Elton John,Island Girl
66,The Staple Singers,Let's Do It Again (Soundtrack)
69,George Benson,This Masquerade
70,Electric Light Orchestra,Evil Woman
71,Silver,Wham Bam
72,Keith Carradine,I'm Easy
73,Harold Melvin And The Blue Notes,Wake Up Everybody (Part 1)
74,War,Summer
75,John Travolta,Let Her In
76,Sweet,Fox On The Run
77,Fleetwood Mac,Rhiannon (will You Ever Win)
78,The Beatles,Got To Get You Into My Life
79,Bee Gees,Fanny (Be Tender With My Love)
80,"Earth, Wind & Fire",Getaway
82,Orleans,Still The One
83,Queen,You're My Best Friend
84,Jefferson Starship,With Your Love
85,Foghat,Slow Ride
86,Ohio Players,Who'd She Coo?
87,Thin Lizzy,The Boys Are Back In Town
88,David Ruffin,Walk Away From Love
89,Peter Frampton,Baby I Love Your Way
90,Candi Staton,Young Hearts Run Free
91,Neil Sedaka,Breaking Up Is Hard To Do
92,Bay City Rollers,Money Honey
93,Parliament,Tear The Roof Off The Sucker
94,Larry Groce,Junk Food Junkie
95,Barry Manilow,Tryin' To Get The Feeling Again
96,KISS,Rock And Roll All Night (Live Version)
97,Rick Dees,Disco Duck
98,The Steve Miller Band,Take The Money And Run
99,The Who,Squeeze Box
100,Glen Campbell,Country Boy (you Got Your Feet In L.a.)
